idx,maximum_speed,speed_limit,average_speed,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,bike,motorcycle,StrType
14237,11,40,8,18,0,2,0,0,0,0,0,0,0,0,0,0,16,0,Council Minor
47507,21,20,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
15924,31,40,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40641,80,50,55,596,3,65,2,1,0,0,1,2,1,0,0,0,9,3,Arterial
21006,70,60,47,949,2,17,7,0,0,0,0,0,0,0,0,0,35,6,Arterial
10236,52,50,32,46,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Council Minor
14188,7,40,6,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Council Minor
10510,41,50,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11838,66,50,36,815,2,21,1,2,0,1,0,0,0,0,0,13,25,17,Arterial
38519,48,50,23,246,0,3,1,0,0,0,0,0,0,0,0,0,5,5,Arterial
40396,71,50,50,462,1,44,6,2,0,0,0,1,1,0,0,0,5,6,Arterial
38563,62,50,37,807,4,23,6,1,1,1,0,0,0,0,0,0,12,2,Arterial
11817,69,50,41,677,0,15,1,2,0,0,0,0,0,0,0,5,19,14,Arterial
38431,62,50,40,493,0,30,4,5,0,0,1,1,0,0,0,0,8,12,Arterial
10199,36,50,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38389,63,50,35,1215,6,16,4,4,1,0,0,2,0,0,0,0,4,14,Arterial
22593,72,60,48,283,1,26,9,5,0,0,0,0,0,0,0,0,0,4,Arterial
15550,41,50,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
47228,19,20,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
